id,name_ar,name_en,kunyah,laqab,gender,is_prophet,node_type,prominence,biography_short,biography_source,tribe,clan,birth_year_hijri,death_year_hijri,has_parents,has_children,has_spouses,has_siblings,has_uncles,has_cousins,has_companions,has_teachers,has_students,has_battles,has_participants,name_bn,biography_bn,name_de,biography_de
0,محمد,Muhammad (PBUH),Abu al-Qasim,Rasulullah,M,True,Sahabi,PROPHET,"The final Prophet of Islam, born in Makkah and migrated to Madinah. He led the early Muslim community through revelations and established the foundations of Islamic civilization. His life serves as the primary model (Sunnah) for Muslims worldwide.","Sirat Ibn Hisham, Al-Rahiq Al-Makhtum (The Sealed Nectar) by Safiur Rahman al-Mubarakpuri.",Quraish,Banu Hashim,-53,11,True,True,True,False,False,True,True,False,True,True,False,,,,
1,أبو بكر الصديق,Abu Bakr as-Siddiq,Abu Bakr,As-Siddiq,M,False,Sahabi,ASHARA_MUBASHSHARA,"Abu Bakr, born Abdullah ibn Abi Quhafa, was a senior companion, the closest friend, and father-in-law of Muhammad, the Islamic prophet. He served as the first caliph of the Rashidun Caliphate, ruling from 632 until his death in 634. Abu Bakr was granted the honorific title al-Ṣiddīq by Muhammad, a designation that continues to be used by Sunni Muslims to this day.",Wikipedia (Abu Bakr),companions of the Prophet,Banu Taym,-50,12,True,True,True,False,False,False,True,False,False,True,False,আবু বকর ইবনে কুহাফা,"আবু বকর, ছিলেন একজন আরব রাজনৈতিক ও ধর্মীয় নেতা যিনি রাশিদুন খিলাফত প্রতিষ্ঠা করেন এবং ৬৩২ সাল থেকে ৬৩৪ সাল তার মৃত্যুর আগ পর্যন্ত ইসলামের প্রথম খলিফা হিসেবে শাসন করেন। তিনি ছিলেন ইসলামের নবী মুহাম্মাদের একজন বিশিষ্ট সঙ্গী ও শ্বশুর। এছাড়াও আবু বকর সুন্নি ইসলামের অন্যতম একজন গুরুত্বপূর্ণ ব্যক্তিত্ব।",Abū Bakr,Abū Bakr ibn Abī Quhāfa as-Siddīq war einer der ersten Anhänger des Propheten Mohammed und als Vater von Aischa bint Abi Bakr sein Schwiegervater. Nach Mohammeds Tod im Juni 632 herrschte er als dessen „Nachfolger“ bzw. „Stellvertreter“ (Kalif) bis zu seinem Tod über die Gemeinschaft der Muslime.
2,عمر بن الخطاب,Umar ibn al-Khattab,Abu Hafs,Al-Faruq,M,False,Sahabi,ASHARA_MUBASHSHARA,"Umar ibn al-Khattab, simply known as Umar, was the second Rashidun caliph, ruling from August 634 until his assassination in 644. He succeeded Abu Bakr and is regarded as a senior companion and father-in-law of the Islamic prophet Muhammad.",Wikipedia (Umar),companions of the Prophet,Banu Adi,-37,22,True,True,True,True,False,False,True,False,False,True,False,উমর ইবনুল খাত্তাব,উমর ইবনুল খাত্তাব ছিলেন ইসলামের দ্বিতীয় খলিফা ও প্রধান সাহাবীদের অন্যতম। আবু বকরের মৃত্যুর পর তিনি দ্বিতীয় খলিফা হিসেবে দায়িত্বপ্রাপ্ত হন। উমর ইসলামী আইনের একজন অভিজ্ঞ আইনজ্ঞ ছিলেন। ন্যায়ের পক্ষাবলম্বন করার কারণে তাকে ফারুক উপাধি দেওয়া হয়। আমিরুল মুমিনীন উপাধিটি সর্বপ্রথম তার ক্ষেত্রে ব্যবহৃত হয়েছে। ইতিহাসে তাকে প্রথম উমর হিসেবেও উল্লেখ করা হয়। নামের মিল থাকার কারণে পরবর্তী কালের উমাইয়া খলীফাহ্ উমর বিন আবদুল আজিজকে দ্বিতীয় উমর হিসেবে সম্বোধন করা হয়। সাহাবীদের মর্যাদার ক্ষেত্রে সুন্নীদের কাছে আবূ বকরের পর উমরের অবস্থান। শিয়া সম্প্রদায় উমরের এই অবস্থান স্বীকার করে না। এছাড়াও তিনি ছিলেন ইসলামের নবী মুহাম্মাদ (সা:)এর শ্বশুর। উমর (রাযি)এর মেয়ে হাফসা বিনতে উমর ছিলেন মুহাম্মাদ(সা:)এর স্ত্রী।,Umar ibn al-Chattab,"Umar [ˈʕumar] oder Omar ist ein männlicher Vorname arabischer Herkunft, der auch Teil eines Familiennamens sein kann. Die Schreibung Umar basiert auf der hocharabischen Phonetik, während Omar auf die dialektale Aussprache des Namens zurückgeht, die auch bei der Übernahme des Namens in die iranischen Sprachen prägend war. Das hocharabische kurze „u“ wird im dialektalen Arabisch und im Persischen meist zu einem kurzen „o“ abgeflacht. Seine Verbreitung verdankt er Umar ibn al-Chattab, dem zweiten der vier „rechtgeleiteten“ Kalifen des Islam."
3,عثمان بن عفان,Uthman ibn Affan,Abu Amr,Dhun-Nurayn,M,False,Sahabi,ASHARA_MUBASHSHARA,"Uthman ibn Affan was the third caliph of the Rashidun Caliphate, ruling from 644 until his assassination in 656. Uthman, a second cousin, son-in-law, and senior companion of the Islamic prophet Muhammad, played a major role in early Islamic history. During his reign as caliph, he was known for ordering the official compilation of the standardized version of the Quran, known as the Uthmanic codex, which is still used today.",Wikipedia (Uthman),companions of the Prophet,Banu Umayya,-49,35,True,True,True,False,False,False,True,False,False,False,False,উসমান ইবন আফফান,"উসমান ইবনে আফ্‌ফান ছিলেন ইসলামের তৃতীয় খলিফা এবং মুহাম্মদ সা. এর একজন প্রসিদ্ধ সাহাবি। তিনি ৬৪৪ থেকে ৬৫৬ সাল পর্যন্ত খিলাফতে অধিষ্ঠিত ছিলেন এবং খলিফা হিসেবে তিনি চারজন খুলাফায়ে রাশিদুনের একজন। উসমান ছিলেন আস-সাবিকুনাল আওয়ালুনের অন্তর্ভুক্ত। এছাড়াও তিনি আশারায়ে মুবাশ্‌শারার একজন এবং সেই ৬ জন সাহাবীর মধ্যে, অন্যতম যাদের উপর নবি মুহাম্মাদ অধিক সন্তুষ্ট ছিলেন। তাকে সাধারণত হযরত উসমান হিসেবে উল্লেখ করা হয়। তিনি কুরাইশ গোত্রের বিশিষ্ট বংশ বনু উমাইয়ায় জন্মগ্রহণ করেন। তিনি প্রথম দিকের ইসলামি ইতিহাসে অন্যতম প্রধান ভূমিকা পালনকারী।তিনি কুরআন সংকলনের আদেশ দেওয়ার জন্য পরিচিত ছিলেন।",Uthman ibn Affan,"Uthman [ʕuθˈmaːn] ist ein Vorname arabischen Ursprungs. Seine Verbreitung verdankt er ʿUthmān ibn ʿAffān, dem dritten sunnitischen Kalifen. Der Name tritt auch als Familienname auf."
4,علي بن أبي طالب,Ali ibn Abi Talib,Abu al-Hasan,Asadullah,M,False,Sahabi,ASHARA_MUBASHSHARA,"Ali ibn Abi Talib was the fourth Rashidun caliph who ruled from 656 CE until his assassination in 661, as well as the first Shia Imam. He was the cousin and son-in-law of the Islamic prophet Muhammad. Born to Abu Talib ibn Abd al-Muttalib and Fatima bint Asad, Ali was raised in the household of his cousin Muhammad and was among the first to accept his teachings.",Wikipedia (Ali),companions of the Prophet,Banu Hashim,-23,40,True,True,True,True,False,True,False,False,False,True,False,আলী,"আলী ইবন আবী তালিব ছিলেন ইসলামের নবী মুহম্মদের ﷺ চাচাতো ভাই, জামাতা ও সহচর, যিনি ৬৫৬ থেকে ৬৬১ সাল পর্যন্ত খলিফা হিসেবে মুসলিম বিশ্ব শাসন করেছিলেন। সুন্নি ইসলাম অনুসারে তিনি চতুর্থ রাশিদুন খলিফা। পক্ষান্তরে, শিয়া ইসলাম অনুসারে তিনি মুহম্মদের ন্যায্য স্থলাভিষিক্ত ও প্রথম ইমাম। আবী তালিব ইবন আব্দুল মুত্তালিব ও ফাতিমা বিনতে আসাদের পুত্র আলী ছোটবেলা থেকেই তাঁর ভাই মুহম্মদের কাছে বড় হন এবং তিনি ছিলেন প্রথম ইসলাম গ্রহণকারীদের অন্যতম। তিনি আহলুল কিসা ও আহলুল বাইতের একজন সদস্য হিসেবে শিয়া ও সুফিবাদী সুন্নি মুসলমানদের কাছে সম্মানিত। পুরুষদের মধ্য হতে যে ব্যক্তি সর্বপ্রথম রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লামের প্রতি ঈমান আনেন, তার সাথে নামায আদায় করেন তিনি আলী রাদিয়াল্লাহু আনহু। তখন তার বয়স মাত্র দশ বছর।",Alī,"Ali [ʕaliː] ist ein männlicher Vorname arabischer Herkunft, der bei Anhängern aller islamischen Glaubensrichtungen beliebt ist. Im europäischen Mittelalter wurde ʿAlī auch latinisiert zu Hali bzw. Haly. In Nordamerika wird Ali auch als weiblicher Vorname verwendet."
5,طلحة بن عبيد الله,Talha ibn Ubaydullah,Abu Muhammad,Talhat al-Khayr,M,False,Sahabi,ASHARA_MUBASHSHARA,"Talha ibn Ubayd Allah al-Taymi, c. 594 – c. 656) was a companion of the Islamic prophet Muhammad. In Sunni Islam, he is known for being among al-ʿashara al-mubashshara and was given the title ""the Generous"" by Muhammad. Talha played significant roles in the Battle of Uhud and the Battle of the Camel, where he was killed. He is viewed critically in Shia Islam due to his role in the First Fitna.",Wikipedia (Talha ibn Ubayd Allah),companions of the Prophet,Banu Taym,-27,35,True,True,True,False,False,False,False,False,False,False,False,তালহা ইবনে উবাইদিল্লাহ,তালহা ইবনে উবাইদিল্লাহ ছিলেন ইসলাম গ্রহণকারী প্রথম আটজন ব্যক্তির অন্যতম। তিনি মুহাম্মদ (সঃ) এর একজন ঘনিষ্ঠ সাহাবি ছিলেন। উহুদের যুদ্ধ ও উটের যুদ্ধে অংশগ্রহণের জন্য তিনি অধিক পরিচিত।,Talha ibn Ubaydullah,Talha ibn ʿUbaidallāh war ein Gefährte des islamischen Propheten Mohammed arabischer Herkunft. Er war auch ein einflussreiches Mitglied in der islamischen Gemeinschaft nach dem Tode des Propheten. Er opponierte gegen den dritten Kalifen ʿUthmān wegen dessen Nepotismus. Nach der Erhebung Alis zum Kalifen erkannte er dessen Kalifat nicht an. Er fiel in der Kamelschlacht von Basra gegen Ali. Sein Schrein in der irakischen Stadt Basra wurde 2006 zerstört.
6,الزبير بن العوام,Zubayr ibn al-Awwam,Abu Abdullah,Hawari Rasulillah,M,False,Sahabi,ASHARA_MUBASHSHARA,"Al-Zubayr ibn al-Awwam ibn Khuwaylid al-Asadi was an Arab Muslim commander in the service of the Islamic prophet Muhammad and caliphs Abu Bakr and Umar who played a leading role in the Ridda Wars against rebel tribes in Arabia in 632–633 and later participated in the early Muslim conquests of Sasanian Persia in 633–634, Byzantine Syria in 634–638, and the Exarchate of Africa in 639–643.",Wikipedia (Zubayr ibn al-Awwam),companions of the Prophet,Banu Asad,-28,35,True,True,True,False,False,False,False,False,False,False,False,জুবাইর ইবনুল আওয়াম,"আল-জুবায়ের ইবনে খুওয়াইলিদ আল-আসাদি ছিলেন ইসলামী নবী মুহাম্মদ এবং খলিফা আবু বকর এবং উমরের সেবায় একজন আরব মুসলিম কমান্ডার যিনি ৬৩২-৬৩৩ সালে আরবে বিদ্রোহী উপজাতির বিরুদ্ধে রিদদা যুদ্ধে অগ্রণী ভূমিকা পালন করেছিলেন এবং পরে ৬৩৩-৬৩৪ সালে সাসানীয় পারস্যের প্রথম দিকে মুসলিম বিজয়ে, ৬৩৪-৬৩৮ সালে বাইজেন্টাইন সিরিয়া এবং ৬৩৯-৬৪৩ সালে আফ্রিকা অভিযানে অংশ নিয়েছিলেন ।",Az-Zubair ibn al-ʿAuwām,"Al-Zubayr ibn al-Awwam ibn Khuwaylid al-Asadi war ein arabisch-muslimischer Kommandeur im Dienst des islamischen Propheten Muhammad und der Kalifen Abu Bakr und Umar, der in den Ridda-Kriegen gegen Rebellenstämme in Arabien in den Jahren 632–633 eine führende Rolle spielte und später an den frühen muslimischen Eroberungen des sassanidischen Persiens in den Jahren 633-634, des byzantinischen Syriens in den Jahren 634-638 und des Exarchats von Afrika in den Jahren 639–643 teilnahm."
7,عبد الرحمن بن عوف,Abdur Rahman ibn Awf,Abu Muhammad,,M,False,Sahabi,ASHARA_MUBASHSHARA,One of the Ashara Mubashshara (Ten Promised Paradise) and a very successful merchant who used his wealth for the cause of Islam. He was known for his extreme generosity and was one of the six members of the Shura council appointed by Umar.,"Al-Isabah by Ibn Hajar, Al-Isti'ab by Ibn Abd al-Barr.",Quraish,Banu Zuhra,-44,32,True,False,False,False,False,False,False,False,False,False,False,,,,
8,سعد بن أبي وقاص,Sa'd ibn Abi Waqqas,Abu Ishaq,,M,False,Sahabi,ASHARA_MUBASHSHARA,Sa'd ibn Abi Waqqas ibn Wuhayb al-Zuhri was an Arab Muslim commander. He was the founder of Kufa and served as its governor under Umar ibn al-Khattab. He played a leading role in the Muslim conquest of Persia and was a close companion of the Islamic prophet Muhammad.,Wikipedia (Sa'd ibn Abi Waqqas),companions of the Prophet,Banu Zuhra,-27,53,True,True,False,False,False,False,False,False,False,True,False,সাদ ইবনে আবি ওয়াক্কাস,সা 'দ ইবনে আবি ওয়াক্কাস ইবনে উহাইব আল-জুহরি একজন আরব মুসলিম কমান্ডার ছিলেন । তিনি কুফার প্রতিষ্ঠাতা ছিলেন এবং উমর ইবনে আল-খাত্তাবের অধীনে এর গভর্নর হিসাবে দায়িত্ব পালন করেছিলেন । তিনি মুসলিমদের পারস্য বিজয়ে অগ্রণী ভূমিকা পালন করেছিলেন এবং ইসলামী নবী মুহাম্মদের ঘনিষ্ঠ সহচর ছিলেন ।,Saʿd ibn Abī Waqqās,"Saʿd ibn Abī Waqqās war ein Wegbegleiter des Propheten Mohammed und einer der zehn, denen von Mohammed das Paradies versprochen wurde."
9,سعيد بن زيد,Sa'id ibn Zayd,Abu al-Awar,,M,False,Sahabi,ASHARA_MUBASHSHARA,"Saʿīd bin Zayd bin ʿAmr bin Nufayl bin ʿAbd al-ʿUzzā al-ʿAdawī al-Qurashī, also known by his kunya Abūʾl-Aʿwar Arabic: أَبُو ٱلۡأَعْوَر, was a companion of the Islamic prophet Muhammad and a brother-in-law of Umar.",Wikipedia (Sa'id ibn Zayd),companions of the Prophet,Banu Adi,-29,50,True,False,True,False,False,False,False,False,False,False,False,সাঈদ ইবনে যায়িদ,"সাঈদ বিন জায়েদ বিন আমর বিন নুফাইল বিন আবদ আল-উজ্জা আল-কুরাশি, এছাড়াও তার কুনিয়া আবুল-আওয়ার আরবি দ্বারা পরিচিত:أَبُو ٱلۡأَعْوَر, ইসলামী নবী মুহাম্মদের একজন সহচর এবং উমরের একজন ভাই ছিলেন ।",Saeed bin Zaid,"Saʿīd bin Zayd bin ʿAmr bin Nufayl bin ʿAbd al-ʿUzzā al-ʿAdawī al-Qurashī, auch bekannt unter seinem Kunya Abūʿl-Aʿwar Arabisch:أَبُو ٱلۡأَعْوَر, war ein Begleiter des islamischen Propheten Muhammad und ein Schwager von Umar."
